Longitude,Latitude,HousingMedianAge,TotalRooms,TotalBedrooms,Population,Households,MedianIncome,MedHouseVal
-117.4533,36.529,44,2446,511.0,299,511,15.0,5.0
-123.4654,34.3318,32,1635,382.0,1304,597,11.9672,5.0
-122.2167,36.4151,16,5005,447.0,1725,103,6.1525,5.0
-119.8913,37.0278,47,3100,697.0,1111,415,13.4969,5.0
-116.7368,39.6231,23,3397,298.0,748,27,6.0518,5.0
-123.5598,34.04,3,3394,770.0,2288,956,9.9078,5.0
-114.6307,37.2458,18,4407,597.0,1285,856,6.2467,5.0
-119.2855,39.7639,32,3874,780.0,1597,679,7.2209,5.0
-122.7096,40.2338,35,3478,816.0,2115,782,15.0,5.0
-122.6007,33.9349,22,3585,916.0,489,1014,7.9292,5.0
-118.9668,35.9653,25,1640,743.0,764,737,7.6932,5.0
-123.4863,39.172,6,1939,765.0,3229,79,7.9141,5.0
-122.7517,35.716,38,2540,516.0,1315,439,8.627,5.0
-114.7532,38.7735,22,2780,726.0,678,1,15.0,5.0
-115.5656,34.9931,7,2691,314.0,1245,281,6.392,5.0
-118.1803,35.5755,39,3038,498.0,1015,169,6.2656,5.0
-116.8446,33.2098,26,2700,777.0,543,490,11.7398,8.1343
-123.2826,38.6074,31,2157,552.0,1134,593,5.5338,5.0
-121.6168,35.2886,11,725,692.0,1414,251,8.4642,5.0
-124.2392,33.3243,31,3670,270.0,1419,418,14.2038,5.0
-118.5292,34.992,27,3372,950.0,1817,564,9.6075,5.0
-124.3516,34.2102,15,1617,405.0,180,451,8.1339,5.0
-123.3347,36.0524,1,3265,678.0,351,445,7.5103,5.0
-114.3396,41.5671,27,3142,560.0,1997,1,6.9917,5.0
-123.4934,41.2296,50,2756,828.0,1110,377,7.8241,5.0
-114.4543,40.4659,24,467,459.0,2305,697,10.0585,5.0
-118.9508,40.1052,40,1225,286.0,1648,558,14.7496,5.0
-119.4722,41.1011,48,1950,34.0,413,106,13.3966,5.0
-123.1068,34.106,41,4602,481.0,1815,420,7.8871,5.0
-120.4187,37.2346,46,1641,,700,560,7.4459,5.0
-120.8659,39.9621,26,2254,717.0,1616,238,12.1921,5.0
-117.3719,41.4293,23,1339,971.0,2314,666,5.1163,5.0
-114.4805,38.3026,21,2080,2.0,2951,283,8.2333,5.0
-121.1275,33.7825,27,3079,205.0,1379,405,8.5623,5.0
-124.1409,35.8027,15,185,653.0,1932,462,6.5237,5.0
-114.6541,34.2883,16,6,913.0,1645,1070,6.788,5.0
-119.5122,39.7769,25,3462,652.0,1999,407,10.7963,5.0
-120.2521,40.1406,30,2711,658.0,3,342,5.4018,5.0
-116.7309,36.2621,8,1944,709.0,1149,677,6.9743,5.0
-117.9205,32.5067,7,3830,728.0,1638,368,7.6439,5.0
-118.9547,41.2706,43,3832,1028.0,1767,541,9.8343,5.0
-122.9808,40.8581,51,158,739.0,886,1,5.9497,5.0
-116.3336,41.3306,37,2468,218.0,2023,568,13.9096,5.0
-121.9287,39.5953,22,3997,,2224,485,8.5868,5.0
-118.264,41.8998,42,1867,625.0,1479,155,8.7277,5.0
-122.495,35.0933,1,2293,339.0,1266,843,8.4221,5.0
-122.0576,33.6996,52,3812,493.0,1172,428,7.5619,5.0
-118.0857,40.4152,16,2348,419.0,1529,439,6.798,5.0
-116.8736,40.2353,22,1234,370.0,2278,149,14.18,5.0
-114.5846,35.0309,50,1846,762.0,2508,68,10.2276,5.0
-117.5014,38.1992,28,1080,457.0,1091,343,9.1768,5.0
-117.9667,33.3808,17,3333,259.0,760,94,13.4388,5.0
-118.3401,33.9017,33,602,365.0,859,618,7.4509,5.0
-121.4785,41.7261,21,3869,577.0,2138,716,11.8369,5.0
-115.1592,40.7866,45,696,,1589,325,9.5945,5.0
-118.5266,34.1473,51,2723,639.0,1644,72,7.0012,5.0
-123.8557,38.7026,47,910,984.0,1776,388,12.3702,9.9354
-119.5865,39.2549,41,2290,706.0,1700,214,5.6783,5.0
-120.9615,37.5366,51,3894,2.0,1341,533,11.9079,5.0
-122.8139,37.2615,19,4014,673.0,681,537,7.0072,5.0
-117.422,38.9679,51,4233,327.0,985,379,10.9471,5.0
-116.243,32.7531,9,2562,185.0,1517,509,15.0,5.0
-115.3374,41.6617,49,2797,263.0,1711,760,11.5579,5.0
-115.5791,38.2913,21,2947,1070.0,1164,933,7.7169,5.0
-114.4397,37.0324,31,3407,122.0,1131,354,9.4026,5.0
-122.4686,35.1673,20,2190,392.0,2412,678,8.3631,5.0
-118.6393,35.0961,42,3988,892.0,1094,428,6.3335,5.0
-120.2836,38.3608,47,3059,754.0,1589,215,6.4781,5.0
-117.0612,34.3308,12,4040,84.0,1201,823,9.6294,5.0
-117.4307,39.1576,29,3241,535.0,812,592,11.4128,5.0
-123.648,33.3138,32,3482,421.0,340,526,5.1601,5.0
-121.6203,36.1699,49,1793,511.0,1044,582,9.2443,5.0
-122.1852,35.1866,9,2169,778.0,840,447,11.2819,5.0
-123.676,32.5194,52,1119,404.0,2038,216,9.8357,5.0
-121.6527,39.1129,11,2314,476.0,605,951,6.7022,5.0
-119.5487,40.9411,46,2457,977.0,1133,723,13.5216,5.0
-121.2613,36.187,26,3671,47.0,1899,558,6.2244,5.0
-122.8818,34.7866,22,1158,461.0,1348,740,11.826,5.0
-116.3012,38.7378,42,6549,698.0,1784,824,15.0,5.0
-123.7423,33.5764,21,2522,215.0,2028,437,4.6824,5.0
-121.9361,40.5886,25,4178,388.0,240,642,10.3287,5.0
-117.4949,37.3037,29,3916,195.0,1134,405,10.5278,5.0
-120.3075,38.9695,48,6,610.0,741,657,10.2137,5.0
-117.881,35.41,36,2354,390.0,2396,423,7.253,5.0
-123.6075,37.5048,52,4436,788.0,1345,1122,8.4828,5.0
-114.9376,37.8794,45,6,854.0,1785,396,5.8381,5.0
-120.4308,38.4006,7,3591,579.0,2645,623,9.8791,5.0
-116.0521,40.0139,43,1569,459.0,1174,610,11.354,5.0
-120.1854,36.5956,20,2108,,1482,402,7.5056,5.0
-116.0077,36.5998,17,2937,582.0,1721,733,6.8619,5.0
-124.0844,36.5676,41,429,222.0,1238,467,8.0168,5.0
-121.6013,32.8757,39,2902,868.0,2327,382,9.4036,5.0
-114.3769,36.022,14,1892,629.0,2014,490,9.6283,5.0
-123.662,41.3088,20,1768,788.0,2145,294,9.0964,5.0
-115.7853,38.9607,4,3509,181.0,1464,800,9.6508,5.0
-120.5812,36.0507,41,6876,813.0,1184,652,6.0062,5.0
-119.5291,40.2843,10,3079,1160.0,1175,744,3.6874,5.0
-121.5195,35.1027,1,3331,739.0,1168,138,11.6468,5.0
-120.8801,36.4534,15,2606,156.0,256,560,15.0,5.0
-114.4621,35.2521,45,1799,576.0,1688,289,5.7889,5.0
-119.6814,36.3741,27,2977,549.0,2009,512,7.4923,5.0
-122.9837,33.8253,37,4488,627.0,1421,820,10.4399,5.0
-116.7162,37.945,49,2893,499.0,1075,556,13.0644,5.0
-122.2503,33.8387,8,3735,705.0,1455,444,11.7636,5.0
-119.0004,36.8018,22,2394,434.0,1589,780,14.6018,5.0
-116.4771,39.7328,14,5690,630.0,1662,752,9.2401,5.0
-119.7989,41.0156,39,687,371.0,2710,970,10.8505,5.0
-123.4407,38.7758,17,3367,593.0,818,5,10.8399,5.0
-117.0213,36.1238,34,3315,846.0,1688,574,8.114,5.0
-115.0464,34.4309,27,2984,426.0,1920,381,14.2164,5.0
-117.5646,35.1604,51,1324,753.0,1484,262,11.655,5.0
-114.9793,35.0798,48,1298,314.0,1261,519,13.1642,5.0
-119.6835,38.8161,21,2381,460.0,698,187,8.2298,5.0
-122.3432,39.7954,51,2782,498.0,1005,1,13.3988,9.7828
-121.0332,33.8564,11,1207,917.0,1930,255,6.5529,5.0
-116.3567,36.8163,32,1383,348.0,2461,421,10.7665,5.0
-114.9502,39.7009,26,3334,909.0,961,975,3.8373,5.0
-121.6944,39.1308,6,3900,151.0,1763,302,6.6528,5.0
-116.0902,33.53,28,1987,520.0,1797,185,12.1073,5.0
-116.7228,37.9517,51,1822,822.0,2144,1,8.0574,5.0
-122.1233,41.3798,5,1787,761.0,1601,398,9.9794,5.0
-116.081,40.6464,50,5634,279.0,1742,427,5.3918,5.0
-120.1465,34.7505,24,3247,219.0,2063,528,15.0,5.0
-122.9373,40.4878,5,2580,812.0,600,113,11.5329,5.0
-118.7244,41.8489,27,3866,208.0,1460,291,9.3177,5.0
-121.8421,41.3751,35,5413,728.0,174,1,10.8401,5.0
-118.9591,40.7508,32,4063,417.0,28,533,10.5182,5.0
-114.7586,33.647,35,944,561.0,843,81,15.0,5.0
-122.3845,36.6307,26,2555,1219.0,335,1,10.1161,5.0
-118.8239,38.7553,35,2172,1002.0,1786,791,5.677,5.0
-119.218,40.7505,10,2245,801.0,2131,621,8.611,5.0
-122.6882,40.3914,38,1195,174.0,1210,581,14.5902,5.0
-118.2474,36.4254,21,2185,654.0,1328,580,11.4231,5.0
-121.8909,35.8796,1,1353,579.0,1261,220,8.1376,5.0
-115.2402,39.1497,44,3063,535.0,1241,768,11.5832,5.0
-115.753,35.1227,17,2709,942.0,1522,217,9.7813,5.0
-119.05,36.4946,17,955,77.0,1675,986,11.5803,5.0
-121.9249,40.6017,18,603,654.0,1099,548,5.4591,5.0
-122.9524,35.1654,51,2077,599.0,869,10,6.9111,5.0
-122.0841,40.5607,34,3436,351.0,1057,715,11.8071,5.0
-119.0784,33.0458,14,3248,1052.0,1993,1002,8.7084,5.0
-118.4887,33.3231,5,2574,205.0,1128,423,10.6012,5.0
-123.0237,35.9566,3,6,571.0,2451,767,15.0,10.3051
-116.8398,38.9572,15,2058,586.0,1254,434,8.4476,5.0
-119.4876,34.6181,31,1763,2.0,2392,326,10.2089,5.0
-114.5564,41.633,10,2250,158.0,582,1,7.7669,5.0
-120.4041,38.1817,19,1185,289.0,935,811,7.5889,5.0
-119.7292,33.2473,3,2132,786.0,1763,374,9.1613,5.0
-116.4091,34.7328,24,1853,831.0,1770,588,5.7168,10.2593
-120.2491,40.6667,25,5918,731.0,1314,195,4.5744,5.0
-116.5005,33.5666,42,3499,631.0,2865,253,14.9955,5.0
-118.955,32.7325,11,2420,2.0,1475,780,9.0716,5.0
-123.2127,34.8499,27,2594,624.0,1629,389,13.8054,5.0
-115.2655,32.7651,26,2509,417.0,1023,385,9.8004,5.0
-115.3173,34.4155,8,2879,894.0,2593,162,9.8905,5.0
-123.1223,37.1528,11,2165,944.0,2029,544,11.8225,5.0
-121.0632,40.3843,42,2631,1197.0,1716,692,12.0167,5.0
-118.6731,36.8471,42,3887,763.0,270,370,6.2278,5.0
-123.3354,37.7751,10,3652,794.0,1680,441,14.2086,5.0
-120.3235,33.5919,6,3024,270.0,1095,172,6.744,5.0
-123.7321,35.7808,28,4255,585.0,1701,855,10.0767,10.3094
-119.0315,38.6797,41,2922,212.0,2068,329,15.0,5.0
-119.5246,37.076,35,1471,817.0,896,450,9.6618,5.0
-115.0235,41.4241,35,549,224.0,1577,929,15.0,5.0
-116.2744,36.4732,47,1815,501.0,2043,431,8.3473,5.0
-121.675,41.2748,9,2576,329.0,1538,86,11.5976,5.0
-117.5222,34.4959,44,3131,429.0,1192,249,9.5672,5.0
-114.7303,38.9419,20,3948,692.0,678,397,10.8448,5.0
-123.1042,39.8083,29,1961,402.0,953,955,7.0183,5.0
-119.0268,41.6759,20,1682,624.0,530,549,6.8685,5.0
-122.9418,34.1321,1,3580,277.0,2118,432,10.5447,8.2715
-121.8393,38.3769,24,4069,958.0,1497,707,5.5101,5.0
-119.4104,41.3353,40,2077,379.0,568,831,7.0453,5.0
-124.3036,37.2381,36,3058,849.0,1419,293,11.7089,5.0
-119.5401,41.8398,34,4307,1168.0,515,865,7.6188,5.0
-121.4086,41.1041,1,3038,2.0,3,715,6.9395,5.0
-123.7641,35.3103,46,2586,280.0,2272,609,6.4383,5.0
-119.0314,37.1241,9,150,503.0,2246,1,9.8877,5.0
-122.3745,35.5826,1,4247,894.0,386,543,8.303,5.0
-122.3748,40.1574,37,3427,424.0,918,856,9.8971,5.0
-114.8931,33.0215,44,2803,669.0,1567,420,8.8177,5.0
-119.9926,39.038,5,2092,354.0,1153,1095,15.0,5.0
-118.8781,32.5421,29,1152,721.0,821,511,8.1004,5.0
-123.3644,33.0319,44,2532,216.0,1061,226,4.8167,5.0
-114.7883,39.8931,31,2523,799.0,1253,647,9.7848,5.0
-118.4744,34.5242,20,3973,2.0,1034,569,9.4112,5.0
-121.424,37.9172,6,1194,23.0,1570,710,9.9196,5.0
-117.7037,41.169,2,4386,1078.0,1259,434,5.4346,5.0
-117.895,34.1815,51,2694,610.0,887,833,13.8428,5.0
-119.4958,36.2428,40,4080,306.0,1439,347,9.3039,5.0
-120.0935,39.8872,19,1485,1188.0,255,527,9.2675,5.0
-123.4454,38.3467,13,3069,860.0,2436,166,5.4784,5.0
-116.7232,38.4416,49,4120,882.0,200,284,11.0533,5.0
-124.0083,34.3234,52,2790,440.0,1363,546,9.1966,5.0
-123.7541,37.4872,37,883,737.0,1659,321,14.913,5.0
-118.0894,40.4745,48,2255,705.0,1712,375,8.161,5.0
-115.5777,37.4979,36,3296,88.0,1604,439,6.1698,5.0
-115.3168,38.5774,47,969,729.0,2307,560,9.8259,5.0
-122.1716,39.1355,44,914,508.0,631,694,6.8872,5.0
-116.1686,35.9757,46,2935,927.0,1372,695,10.8357,5.0
-122.5553,37.4031,27,1509,,1523,762,6.5012,5.0
-122.4619,35.8855,4,3471,377.0,1072,547,8.9998,5.0
-119.7326,35.1228,41,1238,388.0,1004,351,8.7052,5.0
-118.5938,33.2143,2,444,615.0,2322,78,9.2957,8.7997
-119.0372,40.9268,38,1718,747.0,920,403,7.8928,5.0
-115.1605,35.7598,21,4447,443.0,1084,285,7.1343,5.0
-119.374,39.263,17,1614,527.0,1226,17,9.2161,5.0
-120.7447,34.458,22,2646,734.0,1270,926,7.7197,5.0
-119.7256,38.1636,46,2949,681.0,1533,11,9.9064,5.0
-122.5312,39.551,22,1510,892.0,1274,587,8.5727,5.0
-117.1171,39.1258,27,3965,628.0,1681,640,4.3783,5.0
-122.6147,37.0205,32,2866,306.0,1514,432,9.2086,5.0
-119.5259,41.8819,33,3188,56.0,1755,1174,15.0,5.0
-123.4723,33.9472,41,630,791.0,2378,500,10.4263,5.0
-117.1136,39.5599,33,549,464.0,827,293,11.5286,5.0
-120.7342,33.6529,41,6,460.0,2573,957,10.98,5.0
-116.4667,37.267,31,2425,477.0,1104,284,8.0185,5.0
-122.7069,32.5581,49,2378,110.0,1884,117,5.978,5.0
-119.4712,33.0901,36,3523,448.0,1530,230,12.3812,5.0
-115.5764,41.0606,36,4440,2.0,1210,325,13.4543,5.0
-117.0304,39.5448,14,2349,444.0,46,506,11.3992,5.0
-122.312,32.8611,46,2331,303.0,2545,583,10.8618,5.0
-123.4114,33.2967,30,3196,1085.0,888,94,10.7531,5.0
-118.3722,33.509,5,4492,687.0,867,586,9.3166,5.0
-114.5083,40.5025,8,1665,498.0,2160,1082,10.3212,5.0
-120.3098,37.0431,2,3407,605.0,1470,306,9.4436,5.0
-117.3019,40.4226,39,2358,768.0,2746,459,10.5046,5.0
-117.5154,38.2177,24,2253,342.0,2592,677,6.8287,5.0
-114.5252,39.7954,41,3635,493.0,1912,812,7.5997,5.0
-120.2899,33.7433,46,1705,457.0,1593,318,11.4027,5.0
-123.4929,39.3473,48,1371,1271.0,1949,241,8.3872,5.0
-123.4023,35.3122,21,3455,580.0,497,228,4.1497,9.5804
-115.2123,38.5488,29,2625,2.0,1536,783,9.8125,5.0
-122.2312,33.9446,6,2339,787.0,1519,731,4.3429,5.0
-118.5011,35.6235,4,2496,1301.0,1087,1,15.0,5.0
-117.9637,40.1104,7,3253,284.0,1593,1,11.9977,5.0
-115.3033,33.2165,4,2212,1557.0,397,168,11.8075,5.0
-120.1075,33.966,12,3576,540.0,2045,99,7.5203,5.0
-121.866,35.2143,40,3154,846.0,2314,602,6.432,5.0
-115.2372,34.4983,45,4437,396.0,513,552,8.7619,5.0
-118.2028,40.3873,24,4177,481.0,1517,1011,9.4764,5.0
-114.3803,40.8421,18,3686,204.0,2493,704,7.2601,5.0
-116.5383,40.379,50,2413,,1708,526,9.9309,5.0
-117.6947,36.6534,45,2799,2.0,697,806,11.869,5.0
-119.6199,38.5055,18,1945,887.0,727,259,11.525,5.0
-124.3879,37.9245,49,6082,228.0,2010,125,6.637,5.0
-116.0981,38.5961,39,2391,665.0,2693,503,4.5458,5.0
-120.7922,38.3372,41,3325,653.0,659,742,9.4304,5.0
-123.8214,41.2671,44,4290,371.0,1441,67,7.5471,10.8094
-116.9337,38.6733,49,1022,572.0,874,730,10.9496,5.0
-114.4457,32.8028,42,1667,531.0,1217,721,15.0,5.0
-116.9662,39.6353,14,2184,415.0,1630,362,15.0,5.0
-122.6413,37.7895,34,1464,572.0,1386,539,10.379,5.0
-120.927,39.9716,11,1136,572.0,937,422,13.6837,8.897
-120.951,35.7002,38,2039,264.0,2879,516,15.0,5.0
-121.3288,34.4734,13,4211,184.0,1304,707,9.5778,5.0
-117.5033,37.3115,15,3529,313.0,1288,282,10.3348,5.0
-117.1056,34.6573,1,2702,592.0,2186,769,12.5584,5.0
-121.5852,38.099,16,2694,956.0,1423,724,9.3229,5.0
-120.4529,37.6684,49,666,981.0,1273,734,7.9817,5.0
-121.1566,39.0603,40,3497,648.0,2074,1,7.3391,5.0
-121.7938,32.7364,11,3173,830.0,695,3,9.4614,5.0
-117.7711,39.9812,46,1362,593.0,1934,677,7.667,5.0
-116.3075,33.6504,33,2910,876.0,2130,339,12.3398,5.0
-117.1748,37.0131,25,2430,594.0,1874,312,8.448,5.0
-114.6834,36.4696,15,2040,670.0,1290,292,15.0,5.0
-114.891,41.8132,42,1475,475.0,1408,140,14.1775,5.0
-114.6727,40.072,29,1851,555.0,221,418,6.2412,5.0
-116.4946,41.1733,49,1530,1105.0,1323,303,13.5754,5.0
-120.6702,35.043,23,3216,210.0,1615,321,8.2631,5.0
-116.865,37.2619,40,3101,557.0,2016,621,14.9633,5.0
-114.6286,40.8086,38,3049,386.0,1512,182,11.2326,5.0
-121.6238,40.6389,12,2444,834.0,1144,791,9.3194,5.0
-120.8479,38.131,11,2173,1081.0,832,1,11.8514,5.0
-124.1615,37.2773,30,5114,466.0,1382,1157,7.8578,5.0
-115.2402,34.8957,16,428,,1507,135,10.5704,5.0
-116.3581,37.5248,43,4099,734.0,2253,648,10.7723,5.0
-123.1643,40.7218,8,3088,734.0,1420,735,9.0192,5.0
-119.9085,39.3336,43,2746,69.0,1066,493,10.784,5.0
-121.4654,40.3019,17,2053,486.0,1339,691,6.7881,5.0
-120.8881,38.2408,12,2401,537.0,1078,465,11.4205,5.0
-119.976,33.4171,44,1240,2.0,1251,28,6.3284,5.0
-114.8847,34.2732,6,999,751.0,3,585,11.6768,5.0
-121.2457,36.499,51,2530,683.0,309,797,11.1057,5.0
-118.5757,40.9461,35,677,625.0,585,348,12.0214,5.0
-116.8794,37.033,1,3672,248.0,1736,45,7.8812,5.0
-117.2529,41.4074,20,4002,349.0,1359,335,15.0,5.0
-124.0232,37.0373,44,6,372.0,1515,580,8.8073,5.0
-120.8996,39.4585,6,801,694.0,2218,574,9.9953,5.0
-116.0394,39.0783,39,2991,270.0,691,786,7.3918,5.0
-122.6353,32.6144,27,2919,980.0,2205,642,15.0,5.0
-119.8499,36.619,5,2799,665.0,1679,628,8.1308,5.0
-116.4403,37.9406,30,3172,2.0,918,1,13.2479,5.0
-122.3231,41.841,9,3561,1043.0,2444,1084,6.9481,5.0
-119.4617,40.2553,23,3705,601.0,425,507,10.5573,5.0
-114.7882,34.7625,46,4814,395.0,632,722,8.4172,5.0
-123.4206,35.3042,38,2698,584.0,1268,402,12.9878,5.0
